id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"11222";"7238";VIA ANTONIO CANOVA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;non regolamentato;"20";9.16977618493031;45.4741935933497;"(45.4741935933497, 9.16977618493031)"
"11223";"7106";VIALE EMILIO ALEMAGNA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"16";9.17550835194597;45.4697477123274;"(45.4697477123274, 9.17550835194597)"
"11225";"6186";VIA MARIO PAGANO;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;non regolamentato;"20";9.16976809925931;45.4740655585428;"(45.4740655585428, 9.16976809925931)"
"11228";"7523";VIA MARIO BORSA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;non regolamentato;"9";9.10515361588368;45.499511472155;"(45.499511472155, 9.10515361588368)"
"11231";"4068";CORSO LODI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"31";9.20966765716866;45.4477874649304;"(45.4477874649304, 9.20966765716866)"
"11232";"4134";VIA CONDINO;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"215";9.2032921388453;45.4404561032345;"(45.4404561032345, 9.2032921388453)"
"11233";"4134";VIA CONDINO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"19";9.20340321540728;45.4406059799921;"(45.4406059799921, 9.20340321540728)"
"11235";"6346";LARGO QUINTO ALPINI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"12";9.16835683039106;45.4728653855226;"(45.4728653855226, 9.16835683039106)"
"11236";"7515";VIA ANTONIO CECHOV;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;non regolamentato;"5";9.11172442821231;45.4962832172124;"(45.4962832172124, 9.11172442821231)"
"11240";"7156";VIA GATTAMELATA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"93";9.15531144136003;45.4813737678712;"(45.4813737678712, 9.15531144136003)"
